	phenotype
1460	I
1461	I
1462	I
1463	Exh
1464	I
1465	I
1466	I
1467	I
1468	I
1469	I
1470	I
1471	I
1472	I
1473	I
1474	I
1475	I
1476	I
1477	I
1478	I
1479	I
1480	I
1481	I
1482	E
1483	I
1484	I
1485	Exh
1486	I
1487	I
1488	I
1489	I
1490	I
1491	I
1492	I
1493	I
1494	I
1495	I
1496	I
1497	I
1498	I
1499	I
1500	I
1501	I
1502	I
1503	I
1504	Exh
1505	I
1506	I
1507	I
1508	I
1509	I
1510	I
1511	Exh
1512	I
1513	I
1514	I
1515	I
1516	I
1517	I
1518	I
1519	I
1520	I
1521	I
1522	I
1523	I
1524	I
1525	I
1526	I
1527	I
1528	I
1529	I
1530	I
1531	I
1532	I
1533	I
1534	I
1535	I
1536	I
1537	I
1538	I
1539	I
1540	Exh
1541	I
1542	I
1543	E
1544	Exh
1545	I
1546	I
1547	I
1548	I
1549	I
1550	I
1551	I
1552	I
1553	I
1554	I
1555	I
1556	I
1557	I
1558	I
1559	I
1560	I
1561	E
1562	I
1563	Exh
1564	I
1565	I
1566	I
1567	I
1568	Exh
1569	I
1570	I
1571	I
1572	I
1573	I
1574	I
1575	E
1576	I
1577	I
1578	I
1579	I
1580	M
1581	I
1582	I
1583	I
1584	I
1585	I
1586	I
1587	I
1588	I
1589	Exh
1590	I
1591	I
1592	I
1593	I
1594	I
1595	I
1596	I
1597	I
1598	I
1599	I
1600	I
1601	I
1602	I
1603	I
1604	I
1605	I
1606	Exh
1607	I
1608	I
1609	I
1610	I
1611	I
1612	Exh
1613	I
1614	I
1615	I
1616	I
1617	E
1618	I
1619	I
1620	I
1621	I
1622	I
1623	E
1624	I
1625	I
1626	I
1627	I
1628	E
1629	I
1630	I
1631	I
1632	I
1633	I
1634	Exh
1635	I
1636	I
1637	I
1638	I
1639	M
1640	I
1641	I
1642	I
1643	I
1644	P
1645	I
1646	I
1647	I
1648	I
1649	I
1650	I
1651	I
1652	I
1653	E
1654	I
1655	I
1656	I
1657	I
1658	I
1659	E
1660	I
1661	I
1662	I
1663	I
1664	I
1665	I
1666	I
1667	I
1668	I
1669	I
1670	I
1671	I
1672	I
1673	I
