	factor_1	factor_2	factor_3
C1orf21	0.0	0.0	0.0
AL133383.1	0.0	0.0	0.0
RGS18	0.0	0.0	0.0
RGS1	0.0	0.0	0.0
RGS2	0.0	0.0	0.0
AL138778.1	0.0	0.0	0.0
AL358473.1	0.0	0.0	0.0
LGR6	0.0	0.0	0.0
PCAT6	0.0	0.0	0.0
ATP2B4	0.0	0.0	0.0
LAX1	0.0	0.0	0.0
SOX13	0.0	0.0	0.0
AL512306.3	0.0	0.0	0.0
AC119673.1	0.0	0.0	0.0
AC244034.2	0.0	0.0	0.0
C4BPB	0.0	0.0	0.0
CR1	0.0	0.0	0.0
G0S2	0.0	0.0	0.0
CENPF	0.0	0.0	0.0
C1orf143	0.0	0.0	0.0
FAM177B	0.0	0.0	0.0
AC138393.3	0.0	0.0	0.0
PRSS38	0.0	0.0	0.0
OBSCN	0.0	0.0	0.0
AL117350.1	0.0	0.0	0.0
KCNK1	0.0	0.0	0.0
TBCE	0.0	0.0	0.0
RYR2	0.0	0.0	0.0
AL365184.1	0.0	0.0	0.0
GCSAML	0.0	0.0	0.0
TRIM58	0.0	0.0	0.0
OR2G6	0.0	0.0	0.0
AC098483.1	0.0	0.0	0.0
AL672291.1	0.0	0.0	0.0
ADARB2	0.0	0.0	0.0
AC022535.1	0.0	0.0	0.0
AL732437.2	0.0	0.0	0.0
IL2RA	0.0	0.0	0.0
LINC00710	0.0	0.0	0.0
PROSER2-AS1	0.0	0.0	0.0
CCDC3	0.0	0.0	0.0
C1QL3	0.0	0.0	0.0
CUBN	0.0	0.0	0.0
ST8SIA6	0.0	0.0	0.0
SKIDA1	0.0	0.0	0.0
ENKUR	0.0	0.0	0.0
AL365203.2	0.0	0.0	0.0
ITGB1	0.0	0.0	0.0
PARD3	0.0	0.0	0.0
ZNF488	0.0	0.0	0.0
ANXA8	0.0	0.0	0.0
AL589794.2	0.0	0.0	0.0
LNCAROD	0.0	0.0	0.0
SLC16A9	0.0	0.0	0.0
RTKN2	0.0	0.0	0.0
NEUROG3	0.0	0.0	0.0
NPFFR1	0.0	0.0	0.0
PRF1	0.0	0.0	0.0
PSAP	0.0	0.0	0.0
SPOCK2	0.0	0.0	0.0
AC022540.1	0.0	0.0	0.0
ZNF503	0.0	0.0	0.0
DLG5	0.0	0.0	0.0
SFTPD	0.0	0.0	0.0
AL844892.1	0.0	0.0	0.0
ANKRD22	0.0	0.0	0.0
AL157400.3	0.0	0.0	0.0
AL139124.1	0.0	0.0	0.0
AL157834.2	0.0	0.0	0.0
PDLIM1	0.0	0.0	0.0
LINC00866	0.0	0.0	0.0
HPSE2	0.0	0.0	0.0
AL157786.1	0.0	0.0	0.0
AL139120.1	0.0	0.0	0.0
CCDC186	0.0	0.0	0.0
ABLIM1	0.0	0.0	0.0
AL731557.1	0.0	0.0	0.0
WDR11-AS1	0.0	0.0	0.0
FAM53B	0.0	0.0	0.0
MKI67	0.0	0.0	0.0
AL451164.1	0.0	0.0	0.0
AL450322.1	0.0	0.0	0.0
AKR1C3	0.0	0.0	0.0
NET1	0.0	0.0	0.0
AL137186.1	0.0	0.0	0.0
PRKCQ-AS1	0.0	0.0	0.0
LINC02648	0.0	0.0	0.0
LINC00707	0.0	0.0	0.0
GATA3	0.0	0.0	0.0
SEC61A2	0.0	0.0	0.0
OPTN	0.0	0.0	0.0
AL157392.4	0.0	0.0	0.0
ST8SIA6-AS1	0.0	0.0	0.0
PLXDC2	0.0	0.0	0.0
AL512598.1	0.0	0.0	0.0
AL160291.1	0.0	0.0	0.0
BAMBI	0.0	0.0	0.0
AL391839.1	0.0	0.0	0.0
CCDC7	0.0	0.0	0.0
AL591684.1	0.0	0.0	0.0
AGAP6	0.0	0.0	0.0
AC069547.2	0.0	0.0	0.0
PRKG1	0.0	0.0	0.0
MTRNR2L5	0.0	0.0	0.0
AC026391.1	0.0	0.0	0.0
AL592430.1	0.0	0.0	0.0
ARID5B	0.0	0.0	0.0
TET1	0.0	0.0	0.0
AL513534.2	0.0	0.0	0.0
SRGN	0.0	0.0	0.0
HKDC1	0.0	0.0	0.0
COL13A1	0.0	0.0	0.0
ADAMTS14	0.0	0.0	0.0
DDIT4	0.0	0.0	0.0
KAT6B	0.0	0.0	0.0
AL132656.2	0.0	0.0	0.0
PLAC9	0.0	0.0	0.0
LDB3	0.0	0.0	0.0
ADIRF	0.0	0.0	0.0
IFIT2	0.0	0.0	0.0
IFIT3	0.0	0.0	0.0
IFIT1	0.0	0.0	0.0
PDE6C	0.0	0.0	0.0
SLC35G1	0.0	0.0	0.0
PLCE1	0.0	0.0	0.0
DNTT	0.0	0.0	0.0
GOLGA7B	0.0	0.0	0.0
CNNM1	0.0	0.0	0.0
NKX2-3	0.0	0.0	0.0
PAX2	0.0	0.0	0.0
RPARP-AS1	0.0	0.0	0.0
RBM20	0.0	0.0	0.0
AL158163.2	0.0	0.0	0.0
AL158163.1	0.0	0.0	0.0
TCF7L2	0.0	0.0	0.0
ATRNL1	0.0	0.0	0.0
SLC18A2	0.0	0.0	0.0
AC022395.1	0.0	0.0	0.0
AL731566.3	0.0	0.0	0.0
PLEKHA1	0.0	0.0	0.0
HMX2	0.0	0.0	0.0
FANK1	0.0	0.0	0.0
AL158166.1	0.0	0.0	0.0
PRAP1	0.0	0.0	0.0
IFITM3	0.0	0.0	0.0
