	B	B	B	MP	MP	MP	NK	NK	NK
	p	logFC	p_adj	p	logFC	p_adj	p	logFC	p_adj
WNT9A									
PCNX2									
AL391832.4									
LYST									
AL359921.2									
AL359921.1									
CHRM3-AS2									
RGS7									
AL451007.3									
ISG15									
LINC01342									
TTLL10									
SCNN1D									
FO704657.1									
PLCH2									
PRDM16									
ARHGEF16									
TP73									
AJAP1									
AL031848.2									
SLC45A1									
RBP7									
PGD									
AL139423.1									
AL031731.1									
TNFRSF1B									
EFHD2									
PADI4									
HTR6									
OTUD3									
CDA									
C1QA									
C1QC									
C1QB									
AL109936.6									
RCAN3									
AL445648.1									
LDLRAP1									
AL034380.1									
SYTL1									
FO393419.2									
FAM167B									
LCK									
ZSCAN20									
DNALI1									
BMP8A									
AL033527.3									
TMCO2									
TIE1									
ARMH1									
BTBD19									
AL358075.2									
LINC00853									
AL050343.2									
ZFYVE9									
ZYG11A									
PODN									
LEXM									
AL035411.3									
ROR1									
CACHD1									
LRRC7									
AL354872.2									
AC104458.1									
AK5									
GIPC2									
IFI44L									
IFI44									
LINC01781									
AL035706.1									
AC099063.4									
ZNF326									
EPHX4									
RPAP2									
RPL5									
AC105942.1									
AL445928.2									
CELSR2									
CYB561D1									
GSTM1									
OLFML3									
CD2									
TENT5C									
AC245014.3									
CD160									
LINC01719									
AC239803.1									
LINC02804									
FCGR1A									
CIART									
FALEC									
AL590133.1									
TUFT1									
S100A9									
RPS27									
AQP10									
ATP8B2									
EFNA1									
TRIM46									
RXFP4									
AL139130.1									
TTC24									
BCAN									
CD1C									
MNDA									
PYHIN1									
FCER1A									
FCRL6									
AL590560.3									
SLAMF7									
NUF2									
AL158837.1									
AL359962.3									
XCL1									
C1orf112									
FMO1									
DNM3									
FASLG									
ZBTB37									
C1orf220									
AL137796.1									
RALGPS2									
FAM163A									
KIAA1614									
C1orf21									
AL133383.1									
RGS18									
RGS1									
RGS2									
AL138778.1									
AL358473.1									
LGR6									
PCAT6									
ATP2B4									
LAX1									
SOX13									
AL512306.3									
AC119673.1									
AC244034.2									
C4BPB									
CR1									
G0S2									
CENPF									
C1orf143									
FAM177B									
AC138393.3									
PRSS38									
OBSCN									
AL117350.1									
KCNK1									
TBCE									
RYR2									
AL365184.1									
GCSAML									
TRIM58									
OR2G6									
AC098483.1									
AL672291.1									
ADARB2									
AC022535.1									
AL732437.2									
IL2RA									
LINC00710									
PROSER2-AS1									
CCDC3									
C1QL3									
CUBN									
ST8SIA6									
SKIDA1									
ENKUR									
AL365203.2									
ITGB1									
PARD3									
ZNF488									
ANXA8									
AL589794.2									
LNCAROD									
SLC16A9									
RTKN2									
NEUROG3									
NPFFR1									
PRF1									
PSAP									
SPOCK2									
AC022540.1									
ZNF503									
DLG5									
SFTPD									
AL844892.1									
ANKRD22									
AL157400.3									
AL139124.1									
AL157834.2									
PDLIM1									
LINC00866									
HPSE2									
AL157786.1									
AL139120.1									
CCDC186									
ABLIM1									
AL731557.1									
WDR11-AS1									
FAM53B									
MKI67									
AL451164.1									
AL450322.1									
AKR1C3									
NET1									
AL137186.1									
PRKCQ-AS1									
LINC02648									
LINC00707									
GATA3									
SEC61A2									
OPTN									
AL157392.4									
ST8SIA6-AS1									
PLXDC2									
AL512598.1									
AL160291.1									
BAMBI									
AL391839.1									
CCDC7									
AL591684.1									
AGAP6									
AC069547.2									
PRKG1									
MTRNR2L5									
AC026391.1									
AL592430.1									
ARID5B									
TET1									
AL513534.2									
SRGN									
HKDC1									
COL13A1									
ADAMTS14									
DDIT4									
KAT6B									
AL132656.2									
PLAC9									
LDB3									
ADIRF									
IFIT2									
IFIT3									
IFIT1									
PDE6C									
SLC35G1									
PLCE1									
DNTT									
GOLGA7B									
CNNM1									
NKX2-3									
PAX2									
RPARP-AS1									
RBM20									
AL158163.2									
AL158163.1									
TCF7L2									
ATRNL1									
SLC18A2									
AC022395.1									
AL731566.3									
PLEKHA1									
HMX2									
FANK1									
AL158166.1									
PRAP1									
IFITM3									
ANO9									
IRF7									
SCT									
KRTAP5-2									
CTSD									
ASCL2									
CDKN1C									
HBB									
HBG1									
HBG2									
HPX									
AC107884.1									
DKK3									
TPH1									
NAV2-AS3									
LINC00678									
BDNF									
PAX6									
LMO2									
AC090469.1									
SLC1A2									
LRRC4C									
AC087521.2									
SPI1									
AGBL2									
PRG2									
AP003557.2									
AP003557.1									
MPEG1									
MS4A6A									
CYB561A3									
FTH1									
PLAAT5									
TMEM262									
LINC02736									
AP000759.1									
ZDHHC24									
AC004923.4									
ZNF705E									
PHOX2A									
AP003717.1									
UCP3									
WNT11									
LRRC32									
RSF1-IT1									
SYTL2									
GPR83									
SESN3									
MAML2									
MMP7									
MMP8									
PDGFD									
CWF19L2									
NPAT									
POU2AF1									
AP000880.1									
TMPRSS5									
APOA1									
DSCAML1									
JAML									
CD3D									
BCL9L									
AP003392.5									
THY1									
AP002762.2									
FEZ1									
ETS1									
C11orf45									
IGSF9B									
AP000911.1									
B3GAT1									
PGGHG									
IFITM1									
PKP3									
AC131934.1									
AP006621.3									
PANO1									
CD151									
TOLLIP-AS1									
BRSK2									
TNNT3									
TSPAN32									
CARS-AS1									
AC090587.2									
LINC02749									
OR52I1									
OR51M1									
SWAP70									
AC011092.3									
ZBED5-AS1									
AC021269.3									
SPON1									
PDE3B									
NUCB2									
BDNF-AS									
AC113192.3									
AL133330.2									
ACCSL									
MAPK8IP1									
AC024475.1									
AC127035.1									
FAM180B									
FAM111B									
MS4A3									
MS4A2									
MS4A7									
MS4A1									
CD6									
PPP1R32									
AP000753.1									
VEGFB									
SPDYC									
NEAT1									
MALAT1									
CTSW									
TSGA10IP									
ACTN3									
TBC1D10C									
LRP5									
MYEOV									
CCND1									
CTTN									
DEFB108B									
LRTOMT									
LINC01537									
ARAP1-AS1									
AP002993.1									
TPBGL									
AP001972.2									
SERPINH1									
AP001189.1									
LINC02734									
PRSS23									
KDM4E									
CEP126									
BIRC3									
NCAM1									
ZBTB16									
AP000462.3									
CD3E									
CD3G									
PHLDB1									
CXCR5									
UPK2									
NRGN									
TMEM45B									
APLP2									
ZBTB44-DT									
NTM									
LINC02731									
JAM3									
AP001775.2									
RAD52									
CACNA1C-AS1									
TEX52									
ACRBP									
PIANP									
AC018653.3									
AC018653.4									
CLEC4C									
SLC2A3									
CLEC4E									
AC092746.1									
AICDA									
KLRB1									
AC010186.1									
CD69									
CLEC1B									
CLEC7A									
KLRK1									
KLRC4									
KLRC3									
KLRC2									
KLRC1									
YBX3									
LRP6									
PLBD1									
GUCY2C									
LDHB									
KCNJ8									
ST8SIA1									
AC087318.1									
SOX5									
AC023510.2									
AC087257.1									
AC009511.2									
H3F3C									
KIF21A									
PUS7L									
NELL2									
AC079950.1									
SLC38A1									
AC025031.1									
PCED1B-AS1									
RAPGEF3									
AC004801.6									
AC024257.5									
FKBP11									
WNT10B									
LMBR1L									
KRT81									
KRT5									
KRT74									
KRT1									
ITGB7									
SP7									
CBX5									
TESPA1									
AC034102.6									
AC073896.4									
STAT2									
IFNG									
AC020656.1									
PTPRB									
PTPRR									
AC089984.1									
PHLDA1									
CEP290									
DUSP6									
CLLU1OS									
SOCS2-AS1									
AC073655.3									
AC073655.1									
AC073655.2									
USP44									
NTN4									
CCDC38									
LTA4H									
GNPTAB									
PMCH									
IGF1									
PAH									
NT5DC3									
AC011313.1									
NUAK1									
AC004551.1									
HRK									
LINC01089									
AC069503.4									
PITPNM2									
RILPL1									
LINC00944									
AC079949.1									
AC137590.1									
AC148476.1									
IQSEC3									
AC006207.1									
CCND2									
GALNT8									
CD9									
CD27									
AC006064.1									
AC006064.2									
PTMS									
LAG3									
ENO2									
C12orf57									
C1RL-AS1									
ZNF705A									
AC092745.1									
KLRG1									
A2M-AS1									
LINC00987									
AC092821.3									
CLEC2D									
KLRF1									
CLEC9A									
KLRD1									
LINC02446									
AC244131.2									
SPX									
AC092794.1									
AC055720.1									
AC024896.1									
MED21									
ETFBKMT									
AC121334.4									
C12orf40									
LRRK2									
PCED1B									
AC004466.1									
SCN8A									
KRT86									
TNS2									
SOAT2									
DGKA									
RPS26									
AC026120.3									
LRP1									
KIF5A									
DTX3									
SRGAP1									
MSRB3									
IRAK3									
HELB									
DYRK2									
IFNG-AS1									
LYZ									
GLIPR1L2									
NAV3									
AC010201.3									
AC123512.1									
CLLU1									
LINC02397									
C12orf74									
AC138123.2									
CRADD									
ALDH2									
AC073575.1									
AC004217.1									
DTX1									
CFAP73									
BICDL1									
BCL7A									
LRRC43									
B3GNT4									
HIP1R									
AC073912.1									
AC127070.1									
AC026786.2									
LINC00384									
ZAR1L									
MRPS31									
LINC01050									
TSC22D1									
KCTD4									
LCP1									
DLEU7									
TMEM272									
PCDH20									
PCDH9									
KLF12									
AL355390.1									
LMO7-AS1									
KCTD12									
SPRY2									
DCT									
DZIP1									
DOCK9									
